perf_idx,within_perf_idx,perf_name,term_idx
1,0,bach_Gieseking,"[5, 11, 14, 21, 22, 28, 35, 40, 44, 50, 53, 56, 57, 58, 67, 68, 70, 88, 95, 102, 108, 110, 113, 117, 130, 147]"
2,1,bach_Gould,"[11, 15, 19, 22, 25, 27, 32, 54, 64, 72, 76, 77, 80, 82, 83, 88, 93, 100, 102, 120, 126, 127, 128]"
3,2,bach_Grimaud,"[4, 11, 27, 34, 36, 41, 42, 48, 53, 57, 58, 65, 69, 76, 85, 89, 91, 99, 104, 110, 114, 116, 119, 122, 123, 124, 136]"
5,3,bach_Kempff,"[11, 15, 22, 24, 27, 56, 68, 70, 83, 84, 88, 95, 102, 113, 121, 124]"
6,4,bach_Richter,"[8, 11, 16, 18, 42, 43, 47, 53, 58, 65, 83, 89, 94, 96, 100, 101, 106, 115, 124, 134, 142, 147]"
7,5,bach_Stadtfeld,"[9, 14, 24, 25, 33, 34, 36, 42, 43, 47, 53, 56, 57, 58, 62, 65, 81, 88, 89, 106, 108, 114, 118, 120, 124, 128, 138, 147]"
8,6,bach_MIDI,"[2, 6, 11, 22, 27, 43, 48, 67, 83, 88, 92, 93, 109, 126, 128, 143]"
9,7,beethoven_Casadesus,"[16, 18, 33, 35, 36, 38, 44, 53, 58, 59, 83, 85, 93, 100, 107, 114, 122, 124, 125, 134, 147]"
10,8,beethoven_Lazic,"[16, 27, 36, 40, 42, 48, 53, 56, 58, 65, 83, 89, 90, 94, 104, 106, 114, 119, 124, 131, 134]"
11,9,beethoven_Lim,"[2, 13, 20, 22, 29, 37, 41, 42, 48, 50, 51, 53, 56, 68, 75, 84, 85, 99, 110, 113, 124, 132, 144]"
12,10,beethoven_Gulda,"[11, 12, 24, 25, 36, 41, 53, 69, 89, 99, 101, 103, 107, 118, 122, 123, 124, 134, 135, 139]"
13,11,beethoven_Schiff,"[6, 9, 27, 33, 41, 56, 57, 58, 73, 83, 84, 85, 99, 108, 113, 123]"
14,12,beethoven_Schirmer,"[11, 25, 35, 36, 53, 88, 94, 99, 103, 114, 122, 127, 135, 137]"
15,13,brahms_Angelich,"[0, 10, 11, 31, 40, 41, 42, 53, 56, 62, 85, 94, 99, 104, 119, 122, 123, 124, 125, 147, 149]"
16,14,brahms_Ax,"[13, 19, 24, 25, 27, 41, 43, 53, 55, 56, 58, 68, 80, 83, 84, 85, 88, 89, 93, 124, 126, 134]"
17,15,brahms_Serkin,"[3, 13, 30, 38, 40, 41, 53, 56, 58, 68, 77, 83, 84, 89, 99, 104, 107, 113, 122]"
