pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
42,24,uneven,hitting_the_piano,abrupt,0,0.55399525,0.5872369,"[15, 22, 72, 80, 132, 141, 144, 145]","[15, 20, 22, 23, 132, 141, 145]","[15, 26, 52]"
3,6,accentuated,articulated,accentuated,1,0.13002972,-0.1555025,"[86, 126]","[13, 25, 49, 86, 118, 126]","[24, 35, 38, 52]"
27,22,loud,frenetic,aggressive,2,-0.12912294,0.7309461,"[13, 23, 67, 69, 85, 92, 118]","[3, 6, 61, 67, 68, 70, 73, 74, 95, 113, 135]","[8, 11, 25, 30, 34, 38, 41]"
5,22,anxious,frenetic,agitated,3,-0.22074494,0.78425795,"[6, 95, 135]","[2, 6, 61, 67, 68, 70, 73, 74, 95, 113, 135]","[17, 26, 30, 36, 39, 52]"
43,18,weightless,ethereal,airy,4,-0.75403184,0.124847285,"[12, 32, 57, 58, 83, 98, 100, 116, 123, 148]","[12, 36, 57, 59, 83, 124, 136, 148]","[3, 32, 36, 44, 51]"
4,7,amateur,bland,amateur,5,0.53726816,-0.5817989,"[18, 115]","[8, 11, 44, 119]","[1, 30]"
5,22,anxious,frenetic,anxious,6,-0.23480976,0.7885733,"[3, 95, 135]","[2, 3, 61, 67, 68, 70, 73, 74, 95, 113, 135]","[8, 13, 25, 42]"
23,30,happy,military,authentic,7,0.35286817,-0.6028566,"[21, 66, 76, 79, 102]","[30, 35, 37, 47, 87, 96, 125, 142]",[]
36,7,robotic,bland,bland,8,0.6517438,-0.37851024,"[11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[5, 11, 44, 119]","[6, 41, 44]"
14,15,dirty,dirty_pile,blurry,9,-0.2713296,-0.81469184,"[39, 63, 108, 121, 138]","[26, 39, 63, 121, 138]","[7, 13]"
1,32,Gould1,professional,bold,10,-0.32108733,-0.545112,"[35, 37, 54, 75, 78]","[55, 60, 62, 91, 104, 108, 111, 129, 146]",[15]
